PassengerId,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Survived
693,3,365,1,28.5,0,0,65,56.4958,124,2,1
482,2,212,1,28.5,0,0,114,0.0,124,2,0
528,1,195,1,28.5,0,0,487,221.7792,75,2,0
856,3,5,0,18.0,0,1,398,9.35,124,2,1
802,2,138,0,31.0,1,1,465,26.25,124,2,1
653,3,338,1,21.0,0,0,423,8.4333,124,2,0
510,3,367,1,26.0,0,0,65,56.4958,124,2,1
558,1,560,1,28.5,0,0,512,227.525,124,0,0
829,3,418,1,28.5,0,0,369,7.75,124,1,1
19,3,673,0,31.0,1,0,258,18.0,124,2,0
648,1,604,1,56.0,0,0,55,35.5,7,0,1
403,3,336,0,21.0,1,0,405,9.825,124,2,0
847,3,585,1,28.5,8,2,476,69.55,124,2,0
468,1,619,1,56.0,0,0,35,26.55,124,2,0
52,3,474,1,21.0,0,0,432,7.8,124,2,0
413,1,433,0,33.0,1,0,77,90.0,66,1,1
422,3,121,1,21.0,0,0,444,7.7333,124,1,0
251,3,542,1,28.5,0,0,357,7.25,124,2,0
819,3,297,1,43.0,0,0,452,6.45,124,2,0
410,3,375,0,28.5,3,1,401,25.4667,124,2,0
254,3,392,1,30.0,1,0,446,16.1,124,2,0
219,1,55,0,32.0,0,0,50,76.2917,80,0,1
257,1,654,0,28.5,0,0,493,79.2,124,0,1
227,2,428,1,19.0,0,0,562,10.5,124,2,1
295,3,434,1,24.0,0,0,314,7.8958,124,2,0
707,2,348,0,45.0,0,0,91,13.5,124,2,1
754,3,333,1,23.0,0,0,296,7.8958,124,2,0
198,3,488,1,42.0,0,1,407,8.4042,124,2,0
836,1,139,0,39.0,1,1,511,83.1583,110,0,1
221,3,641,1,16.0,0,0,547,8.05,124,2,1
740,3,457,1,28.5,0,0,305,7.8958,124,2,0
34,2,686,1,66.0,0,0,458,10.5,124,2,0
431,1,73,1,28.0,0,0,3,26.55,59,2,1
151,2,51,1,51.0,0,0,524,12.525,124,2,0
587,2,316,1,47.0,0,0,108,15.0,124,2,0
205,3,131,1,18.0,0,0,440,8.05,124,2,1
345,2,207,1,36.0,0,0,95,13.0,124,2,0
748,2,605,0,30.0,0,0,140,13.0,124,2,1
324,2,102,0,22.0,1,1,134,29.0,124,2,1
265,3,282,0,28.5,0,0,393,7.75,124,1,0
135,2,625,1,25.0,0,0,461,13.0,124,2,0
833,3,578,1,28.5,0,0,171,7.2292,124,0,0
191,2,535,0,32.0,0,0,103,13.0,124,2,1
108,3,446,1,28.5,0,0,220,7.775,124,2,1
193,3,13,0,19.0,1,0,341,7.8542,124,2,1
450,1,533,1,52.0,0,0,33,30.5,42,2,1
97,1,232,1,71.0,0,0,509,34.6542,12,0,0
383,3,655,1,32.0,0,0,557,7.925,124,2,0
716,3,626,1,19.0,0,0,293,7.65,120,2,0
365,3,479,1,28.5,1,0,382,15.5,124,1,0
475,3,637,0,22.0,0,0,420,9.8375,124,2,0
435,1,601,1,50.0,1,0,58,55.9,108,2,0
64,3,612,1,4.0,3,2,286,27.9,124,2,0
764,1,113,0,36.0,1,2,27,120.0,41,2,1
749,1,413,1,19.0,1,0,29,53.1,86,2,0
843,1,595,0,30.0,0,0,37,31.0,124,0,1
644,3,201,1,28.5,0,0,65,56.4958,124,2,1
366,3,4,1,30.0,0,0,453,7.25,124,2,0
495,3,634,1,21.0,0,0,428,8.05,124,2,0
309,2,2,1,30.0,1,0,480,24.0,124,0,0
652,2,171,0,18.0,0,1,100,23.0,124,2,1
303,3,329,1,19.0,0,0,479,0.0,124,2,0
717,1,191,0,38.0,0,0,512,227.525,55,0,1
820,3,613,1,10.0,3,2,286,27.9,124,2,0
733,2,359,1,28.5,0,0,115,0.0,124,2,0
252,3,640,0,29.0,1,1,269,10.4625,124,2,0
155,3,489,1,28.5,0,0,478,7.3125,124,2,0
404,3,253,1,28.0,1,0,559,15.85,124,2,0
611,3,21,0,39.0,1,5,282,31.275,124,2,0
206,3,639,0,2.0,0,1,269,10.4625,124,2,0
220,2,267,1,30.0,0,0,568,10.5,124,2,0
694,3,579,1,25.0,0,0,172,7.225,124,0,0
687,3,507,1,14.0,4,1,215,39.6875,124,2,0
384,1,299,0,35.0,1,0,34,52.0,124,2,1
